dataset,earliness_factor,entropy_factor,accuracy,earliness
Fish,0.7,0.1,0.7714285714285715,0.5100432634353638
SwedishLeaf,0.8,0.0,0.898,1.0
CricketZ,0.9,0.01,0.9923076923076923,1.0
GunPoint,0.7,0.0,0.86,0.44577181339263916
Fish,0.6,0.01,0.7828571428571428,0.4131107032299042
NonInvasiveFatalECGThorax2,0.6,0.0,0.8116666666666666,0.1318439543247223
TwoLeadECG,0.6,0.1,1.0,0.29307571053504944
UWaveGestureLibraryY,0.6,0.01,0.6339285714285714,0.385211706161499
ECGFiveDays,0.6,0.0,0.7391304347826086,0.028019322082400322
ECGFiveDays,0.7,0.01,0.782608695652174,0.15458936989307404
ItalyPowerDemand,0.7,0.01,0.5970149253731343,0.15055158734321594
ECGFiveDays,0.7,0.0,0.782608695652174,0.11529792100191116
Adiac,0.6,0.0,0.023076923076923078,0.0
OliveOil,0.8,0.0,0.43333333333333335,0.0
ChlorineConcentration,0.7,0.1,0.5802997858672377,0.2957887053489685
UWaveGestureLibraryZ,0.7,0.0,0.7410714285714286,0.49728092551231384
FaceFour,0.7,0.0,1.0,1.0
FaceFour,0.6,0.01,1.0,0.24414996802806854
Yoga,0.6,0.01,0.7466666666666667,0.2082117646932602
MoteStrain,0.8,0.0,0.5,0.0
FaceFour,0.9,0.01,1.0,1.0
WordSynonyms,0.7,0.0,0.2247191011235955,0.0
ChlorineConcentration,0.6,0.0,0.5610278372591007,0.0
UWaveGestureLibraryY,0.8,0.0,0.7566964285714286,1.0
Yoga,0.8,0.01,0.78,0.3714509606361389
FaceAll,0.7,0.0,0.9607142857142857,0.3443681299686432
NonInvasiveFatalECGThorax1,0.7,0.01,0.8111111111111111,0.19707833230495453
SonyAIBORobotSurface2,0.7,0.01,1.0,0.23206017911434174
SyntheticControl,0.6,0.01,0.86,0.21757061779499054
Symbols,0.6,0.01,0.92,0.22952140867710114
MoteStrain,0.7,0.0,0.5,0.0
TwoPatterns,0.7,0.01,0.986,1.0
CricketY,0.9,0.0,0.9615384615384616,1.0
FiftyWords,0.6,0.1,0.11333333333333333,0.0
CricketY,0.8,0.0,0.9564102564102565,1.0
SyntheticControl,0.7,0.0,0.9666666666666667,0.2607344686985016
WordSynonyms,0.6,0.1,0.2247191011235955,0.0
FiftyWords,0.6,0.0,0.03111111111111111,0.0
Symbols,0.7,0.0,0.84,0.32937026023864746
NonInvasiveFatalECGThorax1,0.8,0.0,0.835,0.3304116725921631
Coffee,0.6,0.0,0.5,0.0
TwoLeadECG,0.7,0.0,0.8260869565217391,0.3333333134651184
SonyAIBORobotSurface1,0.7,0.0,0.95,0.14710143208503723
MoteStrain,0.6,0.01,0.5,0.0
FaceFour,0.9,0.0,1.0,1.0
CBF,0.8,0.01,1.0,1.0
ECG200,0.9,0.0,0.98,0.40336841344833374
CinCECGTorso,0.6,0.1,0.8,0.4564255177974701
SonyAIBORobotSurface2,0.8,0.01,0.9629629629629629,0.25752314925193787
NonInvasiveFatalECGThorax2,0.6,0.1,0.8066666666666666,0.3125508427619934
Coffee,0.9,0.1,0.5,0.0
Symbols,0.7,0.1,1.0,0.3984886407852173
NonInvasiveFatalECGThorax1,0.9,0.01,0.8294444444444444,0.422620564699173
ItalyPowerDemand,0.7,0.0,0.6567164179104478,0.13238157331943512
Haptics,0.6,0.0,0.2,5.913485438213684e-06
FacesUCR,0.7,0.01,0.97,0.34815382957458496
Coffee,0.9,0.0,0.5,0.0
ECG200,0.7,0.01,0.69,0.0
Adiac,0.9,0.01,0.4846153846153846,1.0
ItalyPowerDemand,0.9,0.1,0.8507462686567164,0.5892277359962463
InlineSkate,0.7,0.01,0.19,0.11484317481517792
Coffee,0.6,0.1,0.5,0.0
SonyAIBORobotSurface1,0.9,0.1,1.0,0.36159420013427734
Yoga,0.8,0.1,0.75,0.4350980520248413
ChlorineConcentration,0.9,0.0,0.5610278372591007,0.0
CinCECGTorso,0.7,0.0,0.95,0.542963981628418
UWaveGestureLibraryY,0.7,0.0,0.7142857142857143,0.49728092551231384
Mallat,0.9,0.1,0.9636363636363636,0.5439617037773132
WordSynonyms,0.8,0.1,0.2247191011235955,0.0
WordSynonyms,0.6,0.01,0.2247191011235955,0.0
DiatomSizeReduction,0.6,0.01,0.875,0.20548690855503082
CricketY,0.6,0.01,0.9205128205128205,0.44903525710105896
MoteStrain,0.8,0.1,1.0,0.9999998807907104
ItalyPowerDemand,0.9,0.0,0.9253731343283582,1.0
TwoLeadECG,0.6,0.0,0.6956521739130435,0.16908212006092072
SyntheticControl,0.8,0.1,0.9666666666666667,0.4974011182785034
Trace,0.6,0.0,0.71,0.05310218408703804
CricketY,0.8,0.01,0.9384615384615385,1.0
SonyAIBORobotSurface1,0.6,0.0,0.85,0.08405797183513641
ECGFiveDays,0.8,0.1,0.9130434782608695,0.43574872612953186
NonInvasiveFatalECGThorax2,0.9,0.01,0.8611111111111112,0.3888607323169708
UWaveGestureLibraryZ,0.6,0.0,0.6696428571428571,0.38053417205810547
ChlorineConcentration,0.8,0.1,0.5781584582441114,0.3562390208244324
FiftyWords,0.7,0.0,0.7066666666666667,1.0
OliveOil,0.6,0.0,0.4,0.0
ChlorineConcentration,0.7,0.0,0.5610278372591007,3.893322718795389e-05
ItalyPowerDemand,0.8,0.0,0.9552238805970149,1.0
UWaveGestureLibraryX,0.8,0.1,0.7890625,0.6406427621841431
Fish,0.9,0.0,0.8971428571428571,1.0
Beef,0.6,0.1,0.8666666666666667,1.0
