dataset,earliness_factor,accuracy,earliness
Trace,0.8,0.91,0.6222992539405823
TwoLeadECG,0.9,1.0,0.5759527683258057
MedicalImages,0.9,0.8661417322834646,0.6030049920082092
StarLightCurves,0.7,0.91,0.14644671976566315
NonInvasiveFatalECGThorax1,0.6,0.8061111111111111,0.16201083362102509
OSULeaf,0.9,0.975,1.0
TwoPatterns,0.9,0.991,1.0
CricketZ,0.6,0.8974358974358975,0.4627304971218109
SyntheticControl,0.6,0.9033333333333333,0.25542372465133667
Yoga,0.8,0.8333333333333334,0.40794506669044495
Wafer,0.6,0.919,0.07068873941898346
TwoPatterns,0.6,0.891,0.41445666551589966
Mallat,0.7,0.9818181818181818,0.3542877435684204
NonInvasiveFatalECGThorax1,0.8,0.8205555555555556,0.31765246391296387
MedicalImages,0.7,0.800524934383202,0.35947296023368835
CricketX,0.8,0.9282051282051282,0.5799073576927185
SonyAIBORobotSurface1,0.6,0.85,0.08043477684259415
GunPoint,0.6,0.54,0.020402684807777405
FaceFour,0.7,1.0,1.0
Lightning2,0.6,0.6666666666666666,0.00041928718565031886
TwoPatterns,0.8,0.991,1.0
FiftyWords,0.9,0.07111111111111111,0.0
Beef,0.8,0.9333333333333333,1.0
FiftyWords,0.7,0.09555555555555556,0.0
Wafer,0.7,0.96,0.1356225162744522
UWaveGestureLibraryY,0.7,0.7064732142857143,0.5569303631782532
SonyAIBORobotSurface1,0.9,1.0,0.3898550868034363
Yoga,0.6,0.7366666666666667,0.2282666563987732
SonyAIBORobotSurface2,0.6,1.0,0.30671295523643494
StarLightCurves,0.9,0.957,0.34370672702789307
Yoga,0.9,0.8333333333333334,0.4961882531642914
Trace,0.7,0.74,0.17916058003902435
CricketY,0.7,0.8948717948717949,0.49905669689178467
ItalyPowerDemand,0.8,0.8805970149253731,0.6138870716094971
NonInvasiveFatalECGThorax1,0.9,0.8416666666666667,0.4365695118904114
ECGFiveDays,0.6,0.7391304347826086,0.07214170694351196
Adiac,0.7,0.45897435897435895,0.29894503951072693
Lightning7,0.9,0.7142857142857143,0.9999998807907104
SyntheticControl,0.9,0.9666666666666667,0.6631073355674744
GunPoint,0.9,1.0,0.5544966459274292
SonyAIBORobotSurface1,0.7,1.0,0.11086956411600113
CricketZ,0.9,0.958974358974359,1.0
Lightning7,0.7,0.18571428571428572,0.0
Coffee,0.6,0.5357142857142857,0.0
FaceAll,0.6,0.9267857142857143,0.29770606756210327
Adiac,0.9,0.43846153846153846,0.5414358973503113
SwedishLeaf,0.8,0.888,0.5295905470848083
SyntheticControl,0.7,0.9433333333333334,0.2667231857776642
ChlorineConcentration,0.8,0.5717344753747323,0.1010187491774559
SyntheticControl,0.8,0.9566666666666667,0.3800565004348755
CricketZ,0.8,0.9512820512820512,1.0
Coffee,0.7,0.5,0.0
NonInvasiveFatalECGThorax2,0.8,0.82,0.27426794171333313
SonyAIBORobotSurface1,0.8,1.0,0.16376811265945435
SonyAIBORobotSurface2,0.9,0.9629629629629629,0.31712964177131653
ChlorineConcentration,0.9,0.5781584582441114,0.24849781394004822
CricketY,0.8,0.9307692307692308,1.0
Wafer,0.8,0.974,0.17944371700286865
Symbols,0.8,0.92,0.4015113413333893
Mallat,0.9,1.0,1.0
Haptics,0.8,0.7354838709677419,0.3763223886489868
WordSynonyms,0.8,0.8014981273408239,1.0
MedicalImages,0.6,0.5328083989501312,0.00010712946095736697
GunPoint,0.8,0.96,0.5173154473304749
CinCECGTorso,0.8,0.925,0.5354548692703247
OSULeaf,0.7,0.925,0.4592722952365875
Haptics,0.7,0.6967741935483871,0.30120930075645447
Fish,0.9,0.8742857142857143,0.6532962322235107
Yoga,0.7,0.8266666666666667,0.3290901780128479
Fish,0.6,0.7542857142857143,0.39602965116500854
UWaveGestureLibraryX,0.7,0.8705357142857143,1.0
DiatomSizeReduction,0.6,0.8125,0.17732557654380798
TwoPatterns,0.7,0.984,1.0
MoteStrain,0.9,1.0,0.9999998807907104
ItalyPowerDemand,0.9,0.9104477611940298,1.0
Trace,0.6,0.7,0.08923356980085373
MedicalImages,0.8,0.84251968503937,0.46871820092201233
StarLightCurves,0.6,0.883,0.10511533915996552
ChlorineConcentration,0.7,0.5610278372591007,0.040607355535030365
StarLightCurves,0.8,0.922,0.206867054104805
FacesUCR,0.6,0.96,0.3524231016635895
ECG200,0.8,0.98,0.2730526626110077
NonInvasiveFatalECGThorax2,0.7,0.8311111111111111,0.16565939784049988
Lightning7,0.8,0.24285714285714285,0.0
OSULeaf,0.6,0.87,0.42627933621406555
UWaveGestureLibraryZ,0.9,0.7857142857142857,1.0
CBF,0.6,1.0,0.20971126854419708
FacesUCR,0.9,0.965,1.0
SwedishLeaf,0.6,0.808,0.3360472321510315
UWaveGestureLibraryY,0.6,0.6584821428571429,0.3999161124229431
Lightning7,0.6,0.2571428571428571,0.0
UWaveGestureLibraryX,0.8,0.8370535714285714,0.6795986890792847
Lightning2,0.7,0.7666666666666667,0.038417182862758636
UWaveGestureLibraryX,0.9,0.8649553571428571,1.0
OSULeaf,0.8,0.975,1.0
GunPoint,0.7,0.94,0.42187920212745667
Lightning2,0.9,0.9333333333333333,0.743658185005188
MoteStrain,0.7,0.55,0.0
WordSynonyms,0.6,0.797752808988764,1.0
CricketZ,0.7,0.9025641025641026,0.5184803605079651
CricketX,0.9,0.9512820512820512,1.0
Symbols,0.6,0.68,0.1596977263689041
UWaveGestureLibraryY,0.9,0.7734375,1.0
OliveOil,0.9,0.43333333333333335,0.0
ECG200,0.6,0.89,0.13810527324676514
CricketX,0.7,0.9025641025641026,0.49516335129737854
Mallat,0.6,0.9636363636363636,0.34255751967430115
SwedishLeaf,0.7,0.832,0.3678582012653351
FaceFour,0.8,1.0,1.0
FiftyWords,0.8,0.10222222222222223,0.0
FaceAll,0.8,0.9696428571428571,0.4239285886287689
ChlorineConcentration,0.6,0.563169164882227,0.0218155849725008
UWaveGestureLibraryY,0.8,0.7633928571428571,0.6083512902259827
Beef,0.6,0.16666666666666666,0.0
SonyAIBORobotSurface2,0.7,0.9629629629629629,0.21932870149612427
ECGFiveDays,0.8,0.9130434782608695,0.5098227858543396
TwoLeadECG,0.8,0.9130434782608695,0.4943639039993286
FacesUCR,0.8,0.995,1.0
FaceFour,0.9,1.0,1.0
UWaveGestureLibraryZ,0.8,0.8113839285714286,1.0
OliveOil,0.7,0.43333333333333335,0.0
UWaveGestureLibraryZ,0.6,0.6841517857142857,0.3950324058532715
MoteStrain,0.8,0.95,0.9999998807907104
ItalyPowerDemand,0.7,0.6119402985074627,0.1258922815322876
CinCECGTorso,0.6,0.85,0.3302503228187561
