dataset,earliness_factor,entropy_factor,ptsepsilon,accuracy,earliness
UWaveGestureLibraryZ,0.9,0.01,20,0.6697375767727527,1.0
SonyAIBORobotSurface2,0.6,0.0,10,0.7681007345225603,0.23710677027702332
ECGFiveDays,0.6,0.0,0,0.554006968641115,0.03294782340526581
DiatomSizeReduction,0.7,0.01,10,0.3104575163398693,0.2044028490781784
Haptics,0.8,0.1,10,0.42207792207792205,0.46605807542800903
Symbols,0.9,0.01,10,0.842211055276382,0.5349430441856384
Symbols,0.7,0.01,10,0.6763819095477387,0.19935157895088196
Beef,0.7,0.01,10,0.7666666666666667,1.0
DiatomSizeReduction,0.6,0.1,0,0.8594771241830066,0.4599422514438629
Wafer,0.6,0.0,0,0.8921155094094744,3.53858558810316e-05
UWaveGestureLibraryX,0.7,0.01,5,0.7160804020100503,0.47022560238838196
CBF,0.9,0.1,0,0.7866666666666666,0.34127241373062134
TwoLeadECG,0.6,0.01,10,0.7383669885864794,0.24164772033691406
CinCECGTorso,0.7,0.01,0,0.7050724637681159,0.5227944850921631
Beef,0.9,0.01,10,0.6,1.0
MedicalImages,0.6,0.01,20,0.5144736842105263,6.643281813012436e-05
FiftyWords,0.8,0.01,10,0.12527472527472527,0.0
CricketY,0.8,0.1,0,0.764102564102564,0.6458199620246887
MoteStrain,0.7,0.1,0,0.8626198083067093,0.9999998807907104
TwoLeadECG,0.9,0.01,20,0.8577699736611062,0.7115460634231567
StarLightCurves,0.8,0.01,0,0.9190140845070423,0.24543987214565277
Adiac,0.8,0.01,0,0.3145780051150895,0.38346153497695923
UWaveGestureLibraryZ,0.6,0.0,10,0.649357900614182,0.46824440360069275
Haptics,0.8,0.1,0,0.4448051948051948,0.5535174012184143
UWaveGestureLibraryY,0.9,0.01,0,0.6541038525963149,1.0
TwoPatterns,0.7,0.1,0,0.706,0.6654449105262756
CBF,0.7,0.1,0,0.8022222222222222,0.34803488850593567
ItalyPowerDemand,0.7,0.0,0,0.5898931000971818,0.22052042186260223
NonInvasiveFatalECGThorax2,0.6,0.1,0,0.8590330788804071,0.29754602909088135
Lightning2,0.7,0.01,20,0.639344262295082,0.17697066068649292
Yoga,0.6,0.01,0,0.6116666666666667,0.09034209698438644
Adiac,0.9,0.01,5,0.24808184143222506,0.5379132628440857
FaceFour,0.7,0.0,0,0.9204545454545454,1.0
CricketZ,0.8,0.1,0,0.7487179487179487,0.6580857634544373
CBF,0.7,0.1,0,0.8533333333333334,0.4631669223308563
Coffee,0.7,0.1,0,0.5357142857142857,0.0
Lightning2,0.9,0.0,0,0.8852459016393442,0.9999999403953552
Yoga,0.8,0.01,20,0.676,0.2871268689632416
ECGFiveDays,0.9,0.1,0,0.7340301974448316,0.6191748380661011
Beef,0.7,0.1,10,0.6333333333333333,1.0
Lightning7,0.6,0.0,0,0.2602739726027397,0.0
ItalyPowerDemand,0.6,0.01,20,0.5753158406219631,0.10247035324573517
Fish,0.9,0.1,0,0.84,0.6203951835632324
SonyAIBORobotSurface1,0.8,0.1,10,0.891846921797005,0.23050245642662048
Symbols,0.9,0.01,5,0.7979899497487437,0.4620512127876282
TwoLeadECG,0.9,0.01,0,0.9464442493415277,0.611334502696991
SwedishLeaf,0.9,0.0,0,0.8704,1.0
Lightning7,0.9,0.01,10,0.6301369863013698,0.9999999403953552
Lightning2,0.9,0.01,5,0.7213114754098361,0.32616761326789856
ChlorineConcentration,0.7,0.01,10,0.5393229166666667,0.03969065472483635
UWaveGestureLibraryX,0.6,0.01,0,0.7258514796203238,0.43544110655784607
Beef,0.9,0.0,10,0.2,0.0
WordSynonyms,0.6,0.01,5,0.219435736677116,0.0
CinCECGTorso,0.9,0.01,20,0.6717391304347826,0.7058444619178772
WordSynonyms,0.7,0.01,5,0.219435736677116,0.0
MedicalImages,0.6,0.01,10,0.6486842105263158,0.17958563566207886
UWaveGestureLibraryX,0.8,0.0,0,0.7800111669458403,1.0
FaceFour,0.9,0.1,0,0.6363636363636364,0.2597998380661011
FacesUCR,0.6,0.01,10,0.7404878048780488,0.3455806076526642
FaceFour,0.9,0.1,0,0.8863636363636364,1.0
TwoLeadECG,0.9,0.1,10,0.858647936786655,0.48492157459259033
OliveOil,0.7,0.01,10,0.4,0.0
Wafer,0.9,0.1,0,0.9862102530824141,0.47557368874549866
Yoga,0.7,0.01,10,0.76,0.31170418858528137
Yoga,0.9,0.1,0,0.735,0.5791228413581848
Lightning2,0.9,0.1,10,0.7704918032786885,0.45601803064346313
TwoPatterns,0.9,0.0,0,0.99875,1.0
CinCECGTorso,0.8,0.1,0,0.6572463768115943,0.5353036522865295
Mallat,0.9,0.01,10,0.6571428571428571,1.0
Mallat,0.9,0.0,0,0.8098081023454158,1.0
CricketX,0.7,0.01,5,0.658974358974359,0.5618520379066467
NonInvasiveFatalECGThorax1,0.6,0.01,10,0.7969465648854962,0.18601040542125702
CBF,0.7,0.01,0,0.78,0.31864312291145325
FacesUCR,0.7,0.0,0,0.895609756097561,1.0
CricketX,0.7,0.01,20,0.7,0.518206000328064
UWaveGestureLibraryY,0.9,0.1,0,0.6267448352875489,0.5995835065841675
SwedishLeaf,0.6,0.1,10,0.7712,0.43988317251205444
CricketX,0.7,0.1,0,0.7282051282051282,0.5790535807609558
ECGFiveDays,0.7,0.1,10,0.6434378629500581,0.3574771583080292
FaceAll,0.6,0.01,20,0.863905325443787,0.3311617076396942
SyntheticControl,0.7,0.01,0,0.8766666666666667,0.3214159607887268
CinCECGTorso,0.9,0.01,0,0.7130434782608696,0.7060019373893738
Coffee,0.6,0.01,0,0.4642857142857143,0.0
SwedishLeaf,0.7,0.0,0,0.84,0.3975169360637665
MedicalImages,0.6,0.01,10,0.6289473684210526,0.18127302825450897
SonyAIBORobotSurface1,0.8,0.01,5,0.7420965058236273,0.3256530463695526
OliveOil,0.9,0.01,5,0.4,0.0
Yoga,0.8,0.01,10,0.7336666666666667,0.3941054344177246
DiatomSizeReduction,0.8,0.1,0,0.9117647058823529,0.45606929063796997
InlineSkate,0.6,0.01,10,0.16363636363636364,0.026571759954094887
SonyAIBORobotSurface1,0.9,0.01,20,0.757071547420965,0.3063415288925171
FiftyWords,0.6,0.01,20,0.07472527472527472,0.0
SonyAIBORobotSurface2,0.9,0.01,10,0.8016789087093389,0.37151238322257996
TwoLeadECG,0.9,0.0,10,0.9297629499561019,1.0
CricketZ,0.6,0.1,0,0.7384615384615385,0.5459839701652527
SyntheticControl,0.6,0.1,0,0.8666666666666667,0.37468221783638
Symbols,0.9,0.1,0,0.8170854271356784,0.47481024265289307
ECGFiveDays,0.8,0.1,0,0.686411149825784,0.4541802704334259
Haptics,0.6,0.01,10,0.4090909090909091,0.22502920031547546
Haptics,0.7,0.1,0,0.4025974025974026,0.4415673613548279
WordSynonyms,0.6,0.1,0,0.12539184952978055,0.0
MedicalImages,0.7,0.01,20,0.6526315789473685,0.23307733237743378
ChlorineConcentration,0.7,0.0,0,0.5325520833333334,4.8926765884971246e-05
UWaveGestureLibraryZ,0.6,0.1,0,0.6513121161362367,0.5074979662895203
Haptics,0.9,0.01,0,0.4772727272727273,0.5641957521438599
Beef,0.8,0.1,0,0.7,0.5624734163284302
Yoga,0.6,0.01,10,0.6493333333333333,0.19389158487319946
Trace,0.6,0.01,20,0.51,0.1474817544221878
Symbols,0.9,0.1,10,0.8562814070351759,0.5042210817337036
Symbols,0.6,0.01,0,0.7135678391959799,0.22435107827186584
CricketX,0.7,0.01,10,0.6974358974358974,0.5403454899787903
InlineSkate,0.8,0.01,10,0.2018181818181818,0.09732005000114441
SwedishLeaf,0.8,0.01,5,0.8384,0.499509334564209
Lightning2,0.7,0.0,0,0.5409836065573771,0.0
CinCECGTorso,0.6,0.1,0,0.5369565217391304,0.4264910817146301
Haptics,0.8,0.0,0,0.4155844155844156,0.4048791527748108
UWaveGestureLibraryX,0.8,0.01,20,0.7741485203796762,1.0
Mallat,0.9,0.01,20,0.5855010660980811,1.0
DiatomSizeReduction,0.6,0.01,10,0.3562091503267974,0.3914022147655487
CricketX,0.9,0.1,0,0.7435897435897436,0.6531521081924438
UWaveGestureLibraryX,0.9,0.0,10,0.7414852037967616,1.0
CricketZ,0.7,0.0,0,0.7307692307692307,1.0
DiatomSizeReduction,0.8,0.01,0,0.9379084967320261,0.38431042432785034
Wafer,0.7,0.01,0,0.8921155094094744,0.031806524842977524
SonyAIBORobotSurface2,0.7,0.01,10,0.751311647429171,0.17542512714862823
TwoLeadECG,0.9,0.01,0,0.9350307287093942,0.661337673664093
OSULeaf,0.7,0.0,10,0.6611570247933884,0.5743532180786133
OSULeaf,0.7,0.1,0,0.6157024793388429,0.5338785648345947
UWaveGestureLibraryZ,0.9,0.1,0,0.6934673366834171,0.6787837743759155
Coffee,0.9,0.01,0,0.5357142857142857,0.0
Wafer,0.8,0.01,0,0.991239454899416,0.24141345918178558
OliveOil,0.8,0.01,20,0.4,0.0
FacesUCR,0.7,0.01,20,0.7560975609756098,0.4319850206375122
Coffee,0.7,0.01,0,0.5357142857142857,0.0
CricketX,0.6,0.0,0,0.7205128205128205,0.42066770792007446
Symbols,0.8,0.01,10,0.8090452261306532,0.43468016386032104
Haptics,0.7,0.1,10,0.43506493506493504,0.42490488290786743
OliveOil,0.6,0.01,10,0.3,0.0
MoteStrain,0.6,0.01,10,0.46086261980830673,0.0
FaceAll,0.6,0.0,0,0.8781065088757396,0.2699606418609619
CricketY,0.9,0.0,0,0.6692307692307692,1.0
ECGFiveDays,0.6,0.01,10,0.5516840882694541,0.2160443514585495
FiftyWords,0.7,0.01,5,0.07472527472527472,0.0
Beef,0.7,0.01,0,0.5666666666666667,0.4266524612903595
NonInvasiveFatalECGThorax1,0.8,0.01,5,0.8351145038167939,0.4094085991382599
OSULeaf,0.6,0.0,0,0.5867768595041323,0.3560067117214203
OSULeaf,0.7,0.01,0,0.6570247933884298,0.9965522289276123
Beef,0.9,0.01,0,0.5,0.44399434328079224
Lightning7,0.6,0.01,20,0.0958904109589041,0.0
InlineSkate,0.9,0.01,0,0.21454545454545454,0.27691203355789185
FacesUCR,0.7,0.01,5,0.8263414634146341,1.0
ItalyPowerDemand,0.7,0.01,10,0.6967930029154519,0.2963685691356659
FiftyWords,0.9,0.1,0,0.12527472527472527,0.0
